User ID,Timestamp,IP Address,Location,Device,Risk Score,Access Decision
4027f1df-63c9-4d43-b3c8-15040fa3eacb,2025-01-28 19:50:36.952378,137.242.13.155,Edwardsmouth,Workstation,0.01,Granted
09800009-39bc-417b-bdd1-c8bda1df32e9,2025-01-26 06:09:44.756424,113.33.113.134,New Christopherfurt,Laptop,0.48,Granted
aacace65-aae8-4ab8-ba55-325bf57be513,2025-01-16 04:21:30.709190,53.241.145.217,Kiaraberg,Mobile,0.92,Denied
08e23907-820b-4b50-b1b2-034b8009e929,2025-01-09 00:06:33.647438,93.163.105.137,Port Johnnyhaven,Workstation,0.42,Granted
a242c128-de50-48a1-b33e-719e024f0553,2025-01-23 12:19:22.940144,82.156.53.180,Georgebury,Mobile,0.36,Granted
7301b161-ccd3-4488-af6b-266f5f539a51,2025-01-19 07:41:16.402974,97.52.62.198,Johnsonport,Workstation,0.44,Granted
6f67aab4-ceef-44ba-be9a-044736b9b52f,2025-01-22 22:23:53.314316,41.69.190.43,Frankberg,Mobile,0.62,MFA Required
6dcc4ff7-673e-4326-a716-429af406e1ba,2025-01-15 20:26:12.480757,175.168.10.108,Lake James,Tablet,0.87,Denied
bb7965ac-ec8a-4679-9c31-310d3cdc8f43,2025-02-06 08:23:39.354037,145.116.24.24,Phillipsbury,Workstation,0.59,MFA Required
2f62211b-5f07-4b5c-ab28-f36be6026b8a,2025-01-23 22:07:47.552163,184.178.185.250,North Maxwell,Laptop,0.59,MFA Required
fc436c6f-80ad-4725-8623-1ab7990b557f,2025-01-20 09:02:32.969251,137.143.96.202,Andersonstad,Laptop,0.29,Granted
bf18c6f8-a98c-468c-814a-ac8b62aa1b79,2025-01-13 16:18:13.432364,97.148.199.36,New Andre,Workstation,0.62,MFA Required
e15a472c-bf86-43ef-8bc7-e7484e5edb4c,2025-01-11 03:42:43.544881,28.115.206.95,Lake Robertside,Workstation,0.26,Granted
d06b7218-7651-4eb3-a482-4ef6c00554e3,2025-01-12 20:56:44.343127,101.197.145.202,Andrewberg,Laptop,0.51,MFA Required
a7544fd3-9ca2-484c-9392-1e7307fac73c,2025-01-19 19:14:51.710952,199.34.68.59,Port Jeffreyview,Laptop,0.84,Denied
a5fb658e-b9bb-477e-adbc-a289814b1eb8,2025-01-10 19:24:00.929888,196.107.20.4,South Richard,Tablet,0.42,Granted
42bc1ec3-d8c5-4fdb-973e-f4be8a2e33fb,2025-01-16 19:43:20.797417,206.224.186.7,Jimmychester,Workstation,0.22,Granted
532f6768-2637-49d2-bfdf-b690bcafb9a1,2025-01-27 18:41:19.012398,176.117.0.142,North Patricia,Tablet,0.41,Granted
8273865a-266a-4fc8-bb9b-2a980098a289,2025-01-30 18:29:39.189240,10.94.30.109,Ruthborough,Laptop,0.27,Granted
5375ac94-b34f-420d-8e77-48279afd3801,2025-02-01 20:26:54.360961,22.217.103.82,Ericshire,Tablet,0.52,MFA Required
76e18043-7162-4104-ba73-e279a4cf0647,2025-01-20 13:42:40.050683,54.24.156.82,Coxfort,Laptop,0.46,Granted
09527046-90c0-4c4e-923d-079404a8966f,2025-01-14 06:49:12.086380,59.1.153.89,Rayland,Laptop,0.87,Denied
748cc8c9-5fe0-4520-bf2e-b831769de07a,2025-02-02 07:36:58.583196,200.160.121.19,Lake Angelamouth,Mobile,0.16,Granted
6c043dad-d831-441f-baa8-2e318d753188,2025-01-14 03:50:15.679483,113.122.38.28,Alisonside,Mobile,0.71,MFA Required
c62e33a2-1ede-4506-b958-2c820879b454,2025-01-30 02:16:03.185187,8.47.8.122,South David,Mobile,0.2,Granted
539098fa-ccab-4469-b786-8a1cbe215f51,2025-01-18 21:47:46.314539,79.122.123.189,Samanthaville,Laptop,0.59,MFA Required
54702fba-1a00-40d2-a446-0f855edc4ff7,2025-01-13 08:32:44.465449,60.26.1.189,New Carolstad,Mobile,0.46,Granted
17366a91-3ca3-4de5-a1fb-ffb2781f4e3d,2025-01-24 13:39:21.227359,133.53.201.45,Onealton,Laptop,0.22,Granted
2f7f1935-b127-4476-b5f4-273200c423b0,2025-01-16 22:15:36.390350,144.221.56.100,Markbury,Mobile,0.66,MFA Required
a78c60bc-0821-4242-86ed-d31835edfc9b,2025-02-06 09:50:49.277629,217.143.117.143,Farmerview,Laptop,0.98,Denied
0f7c92eb-c3a2-4514-ba0b-f48b8e3db886,2025-01-13 15:38:37.610610,121.15.113.25,North Amymouth,Workstation,0.52,MFA Required
70ced223-d5e4-417f-b831-d8136c33767a,2025-02-01 05:35:46.811012,180.249.246.136,East Andrew,Mobile,0.26,Granted
a9cd63a6-3663-4235-8403-6b04f2c95341,2025-02-02 23:30:12.190746,119.153.123.170,Princefort,Mobile,0.83,Denied
